application_date,approval_id,issue_date,latitude,longitude,project_id,complete_cancel_date,job_id,status,valuation
2015-01-26,1421049,2015-01-26,32.742879,-117.144148,406407,,791114,Issued,
2015-01-26,1421093,2015-01-26,32.747627,-117.106738,406420,2015-02-11,791138,Completed,
2015-01-26,1421193,2015-01-26,32.786131,-117.088709,406440,2015-02-17,791170,Completed,
2015-01-26,1421202,2015-01-26,32.828971,-117.099675,406442,,791174,Issued,
2015-01-26,1420886,2015-01-26,32.707115,-117.138792,406364,2015-03-06,791025,Completed,
2015-01-26,1420864,2015-01-26,33.019687,-117.138669,406352,2015-02-12,791007,Completed,
2015-01-26,1422412,2015-01-26,32.931483,-117.142471,406765,,791786,Issued,
2015-01-26,1422676,2015-01-26,32.695165,-117.024701,406837,2015-03-19,791908,Completed,
2015-01-26,1421172,2015-01-26,32.763028,-117.081684,406426,2015-03-14,791162,Completed,
2015-01-27,1424819,2015-01-27,32.707449,-117.123223,407432,,793059,Issued,
2015-01-27,1424773,2015-01-27,32.824683,-117.249186,407420,,793033,Issued,
2015-01-27,1424853,2015-01-27,32.754033,-117.099323,407441,2015-04-05,793074,Completed,
2015-01-27,1424863,2015-01-27,32.7165,-117.050765,407446,,793079,Issued,
2015-01-27,1424902,2015-01-27,32.582734,-117.051574,407453,,793095,Issued,
2015-01-27,1424917,2015-01-27,32.838759,-117.19599,407456,,793099,Issued,
2014-12-15,1405194,2015-01-27,33.01899,-117.059711,402092,,782986,Issued,
2015-01-27,1420508,2015-01-27,32.79669,-117.031819,406257,2015-03-11,790825,Completed,
2015-01-27,1424955,2015-01-27,32.79549,-117.052241,407463,2015-03-05,793114,Completed,
,1416289,2015-01-27,32.817264,-117.210029,405160,2015-03-11,788706,Completed,
2015-01-27,1416303,2015-01-27,32.797742,-117.059704,405165,2015-04-16,788716,Completed,
2015-01-27,1416357,2015-01-27,32.815963,-117.195609,405180,,788747,Issued,
2015-01-27,1415112,2015-01-27,32.754129,-117.17796,404807,2015-02-24,788073,Completed,
2015-01-27,1415120,2015-01-27,32.808192,-117.238819,404816,2015-02-11,788079,Completed,
2015-01-27,1416660,2015-01-27,32.90831,-117.063211,405260,2015-02-05,788891,Completed,
2015-01-27,1416762,2015-01-27,32.794426,-117.235966,405291,2015-02-06,788948,Completed,
2015-01-27,1417061,2015-01-27,32.916795,-117.223952,405372,2015-02-16,789109,Completed,
2015-01-27,1416721,2015-01-27,32.855851,-117.251201,405281,2015-02-24,788926,Completed,
2015-01-27,1417072,2015-01-27,32.84309,-117.201464,405374,2015-02-25,789115,Completed,
2015-01-27,1413791,2015-01-27,32.752393,-117.153674,404428,,787388,Issued,
2015-01-27,1413826,2015-01-27,32.751995,-117.153253,404437,2015-02-02,787403,Completed,
2015-01-27,1420531,2015-01-27,32.958372,-117.140142,406259,2015-03-13,790831,Completed,
2015-01-27,1420476,2015-01-27,32.828958,-117.222114,406251,2015-04-14,790813,Completed,
2015-01-27,1420568,2015-01-27,32.758665,-117.189483,406269,2016-05-17,790849,Completed,
2015-01-27,1417792,2015-01-27,32.809154,-117.26529,405542,2015-08-24,789433,Completed,
2015-01-27,1417566,2015-01-27,32.910071,-117.130732,405489,,789331,Issued,
2015-01-27,1419797,2015-01-27,32.829146,-117.095011,406082,2015-03-24,790512,Completed,
2015-01-27,1416070,2015-01-27,32.94915,-117.13526,405088,2015-05-31,788564,Completed,
2015-01-27,1418982,2015-01-27,32.962557,-117.122054,405845,2015-06-24,790074,Completed,
2015-01-08,1415722,2015-01-27,32.814123,-117.099004,404990,2015-03-24,788387,Completed,
2015-01-27,1416125,2015-01-27,32.73224,-117.113216,405109,2015-07-02,788617,Completed,
2015-01-27,1418817,2015-01-27,32.927947,-117.026576,405802,2015-02-04,789983,Completed,
2015-01-27,1419167,2015-01-27,32.913632,-117.155924,405911,2015-03-06,790177,Completed,
2015-01-07,1414535,2015-01-27,32.990576,-117.088511,404626,2015-02-26,787748,Completed,
2015-01-27,1419225,2015-01-27,32.760286,-117.074583,405925,2015-03-18,790214,Completed,
2015-01-27,1386813,2015-01-27,33.013287,-117.139769,397162,2015-02-09,773360,Completed,8000
2015-01-27,1418097,2015-01-27,32.729031,-117.248505,405629,2015-02-26,789598,Completed,
2015-01-27,1418072,2015-01-27,32.910912,-117.08843,405624,2015-02-06,789587,Completed,
2015-04-29,1414139,2015-01-27,32.799438,-117.14371,404540,2015-02-18,787565,Completed,
2015-01-27,1418009,2015-01-27,32.735264,-117.168281,405610,2015-04-15,789562,Completed,
2015-01-27,1425519,2015-01-27,32.955621,-117.200677,407626,2015-02-24,793416,Completed,
2015-01-28,1424702,2015-01-28,32.692459,-117.116594,407398,2015-02-19,793000,Completed,
2014-12-23,1408811,2015-01-28,32.695812,-117.035725,402972,,784600,Issued,
2015-01-28,1425826,2015-01-28,32.717888,-117.037096,407702,2015-02-10,793557,Completed,
2015-01-28,1425842,2015-01-28,32.72483,-117.111199,407707,2015-02-20,793567,Completed,
2015-01-28,1422666,2015-01-28,33.001771,-117.084848,406836,2015-03-18,791904,Completed,
2015-01-28,1425866,2015-01-28,32.732139,-117.102422,407712,2015-06-03,793577,Completed,
2015-01-28,1422646,2015-01-28,32.849243,-117.242103,406829,2015-07-30,791896,Completed,
2015-01-28,1425875,2015-01-28,32.714859,-117.049862,407715,2015-04-21,793583,Completed,
2015-01-28,1422634,2015-01-28,32.812513,-117.270641,406820,2015-05-12,791875,Completed,
2015-01-28,1415083,2015-01-28,32.927918,-117.05724,404805,2015-02-06,788063,Completed,
2015-01-28,1425888,2015-01-28,32.582209,-117.05837,407717,2015-04-06,793587,Completed,
2015-01-28,1425908,2015-01-28,32.714476,-117.044871,407722,,793600,Issued,
2015-01-28,1421325,2015-01-28,32.968096,-117.186981,406472,2015-03-04,791232,Completed,
,1418348,2015-01-28,32.962146,-117.228455,405687,2015-02-09,789728,Completed,
2015-01-28,1421877,2015-01-28,32.928756,-117.148245,406624,2015-02-06,791522,Completed,
2015-01-28,1421833,2015-01-28,33.02722,-117.057839,406609,2015-03-05,791498,Completed,
2015-01-28,1420440,2015-01-28,32.951026,-117.147944,406242,2015-03-06,790799,Completed,
2015-01-28,1420584,2015-01-28,32.923375,-117.105475,406273,2015-03-02,790857,Completed,
2015-01-28,1420452,2015-01-28,32.80147,-117.080596,406248,2015-03-02,790807,Completed,
2015-01-28,1420543,2015-01-28,32.947935,-117.214618,406263,2015-04-03,790837,Completed,
2015-01-28,1420502,2015-01-28,32.713865,-117.236775,406255,2015-02-03,790821,Completed,
2015-01-28,1422071,2015-01-28,32.960125,-117.181164,406676,2015-02-16,791617,Completed,
2015-01-28,1424649,2015-01-28,32.936133,-117.2522,407379,2015-03-05,792973,Completed,
2015-01-28,1424642,2015-01-28,32.956837,-117.206833,407377,2015-02-11,792969,Completed,
2015-01-28,1424638,2015-01-28,32.713347,-117.027133,407374,2015-02-16,792964,Completed,
